source_order	legacy_id_reference	canonical_unit_id	mapping_status
148	MEN-A1-0148	MEN-A1-00148	ORDER_PRESERVING_REFERENCE
149	MEN-A1-0149	MEN-A1-00149	ORDER_PRESERVING_REFERENCE
150	MEN-A1-0150	MEN-A1-00150	ORDER_PRESERVING_REFERENCE
151	MEN-A1-0151	MEN-A1-00151	ORDER_PRESERVING_REFERENCE
152	MEN-A1-0152	MEN-A1-00152	ORDER_PRESERVING_REFERENCE
153	MEN-A1-0153	MEN-A1-00153	ORDER_PRESERVING_REFERENCE
154	MEN-A1-0154	MEN-A1-00154	ORDER_PRESERVING_REFERENCE
155	MEN-A1-0155	MEN-A1-00155	ORDER_PRESERVING_REFERENCE
156	MEN-A1-0156	MEN-A1-00156	ORDER_PRESERVING_REFERENCE
157	MEN-A1-0157	MEN-A1-00157	ORDER_PRESERVING_REFERENCE
158	MEN-A1-0158	MEN-A1-00158	ORDER_PRESERVING_REFERENCE
159	MEN-A1-0159	MEN-A1-00159	ORDER_PRESERVING_REFERENCE
160	MEN-A1-0160	MEN-A1-00160	ORDER_PRESERVING_REFERENCE
161	MEN-A1-0161	MEN-A1-00161	ORDER_PRESERVING_REFERENCE
162	MEN-A1-0162	MEN-A1-00162	ORDER_PRESERVING_REFERENCE
163	MEN-A1-0163	MEN-A1-00163	ORDER_PRESERVING_REFERENCE
164	MEN-A1-0164	MEN-A1-00164	ORDER_PRESERVING_REFERENCE
165	MEN-A1-0165	MEN-A1-00165	ORDER_PRESERVING_REFERENCE
166	MEN-A1-0166	MEN-A1-00166	ORDER_PRESERVING_REFERENCE
167	MEN-A1-0167	MEN-A1-00167	ORDER_PRESERVING_REFERENCE
168	MEN-A1-0168	MEN-A1-00168	ORDER_PRESERVING_REFERENCE
169	MEN-A1-0169	MEN-A1-00169	ORDER_PRESERVING_REFERENCE
170	MEN-A1-0170	MEN-A1-00170	ORDER_PRESERVING_REFERENCE
171	MEN-A1-0171	MEN-A1-00171	ORDER_PRESERVING_REFERENCE
172	MEN-A1-0172	MEN-A1-00172	ORDER_PRESERVING_REFERENCE
173	MEN-A1-0173	MEN-A1-00173	ORDER_PRESERVING_REFERENCE
174	MEN-A1-0174	MEN-A1-00174	ORDER_PRESERVING_REFERENCE
175	MEN-A1-0175	MEN-A1-00175	ORDER_PRESERVING_REFERENCE
176	MEN-A1-0176	MEN-A1-00176	ORDER_PRESERVING_REFERENCE
177	MEN-A1-0177	MEN-A1-00177	ORDER_PRESERVING_REFERENCE
178	MEN-A1-0178	MEN-A1-00178	ORDER_PRESERVING_REFERENCE
179	MEN-A1-0179	MEN-A1-00179	ORDER_PRESERVING_REFERENCE
180	MEN-A1-0180	MEN-A1-00180	ORDER_PRESERVING_REFERENCE
181	MEN-A1-0181	MEN-A1-00181	ORDER_PRESERVING_REFERENCE
182	MEN-A1-0182	MEN-A1-00182	ORDER_PRESERVING_REFERENCE
183	MEN-A1-0183	MEN-A1-00183	ORDER_PRESERVING_REFERENCE
184	MEN-A1-0184	MEN-A1-00184	ORDER_PRESERVING_REFERENCE
185	MEN-A1-0185	MEN-A1-00185	ORDER_PRESERVING_REFERENCE
186	MEN-A1-0186	MEN-A1-00186	ORDER_PRESERVING_REFERENCE
187	MEN-A1-0187	MEN-A1-00187	ORDER_PRESERVING_REFERENCE
188	MEN-A1-0188	MEN-A1-00188	ORDER_PRESERVING_REFERENCE
189	MEN-A1-0189	MEN-A1-00189	ORDER_PRESERVING_REFERENCE
190	MEN-A1-0190	MEN-A1-00190	ORDER_PRESERVING_REFERENCE
191	MEN-A1-0191	MEN-A1-00191	ORDER_PRESERVING_REFERENCE
192	MEN-A1-0192	MEN-A1-00192	ORDER_PRESERVING_REFERENCE
193	MEN-A1-0193	MEN-A1-00193	ORDER_PRESERVING_REFERENCE
194	MEN-A1-0194	MEN-A1-00194	ORDER_PRESERVING_REFERENCE
195	MEN-A1-0195	MEN-A1-00195	ORDER_PRESERVING_REFERENCE
196	MEN-A1-0196	MEN-A1-00196	ORDER_PRESERVING_REFERENCE
197	MEN-A1-0197	MEN-A1-00197	ORDER_PRESERVING_REFERENCE
198	MEN-A1-0198	MEN-A1-00198	ORDER_PRESERVING_REFERENCE
199	MEN-A1-0199	MEN-A1-00199	ORDER_PRESERVING_REFERENCE
200	MEN-A1-0200	MEN-A1-00200	ORDER_PRESERVING_REFERENCE
201	MEN-A1-0201	MEN-A1-00201	ORDER_PRESERVING_REFERENCE
202	MEN-A1-0202	MEN-A1-00202	ORDER_PRESERVING_REFERENCE
203	MEN-A1-0203	MEN-A1-00203	ORDER_PRESERVING_REFERENCE
204	MEN-A1-0204	MEN-A1-00204	ORDER_PRESERVING_REFERENCE
205	MEN-A1-0205	MEN-A1-00205	ORDER_PRESERVING_REFERENCE
206	MEN-A1-0206	MEN-A1-00206	ORDER_PRESERVING_REFERENCE
207	MEN-A1-0207	MEN-A1-00207	ORDER_PRESERVING_REFERENCE
208	MEN-A1-0208	MEN-A1-00208	ORDER_PRESERVING_REFERENCE
209	MEN-A1-0209	MEN-A1-00209	ORDER_PRESERVING_REFERENCE
210	MEN-A1-0210	MEN-A1-00210	ORDER_PRESERVING_REFERENCE
211	MEN-A1-0211	MEN-A1-00211	ORDER_PRESERVING_REFERENCE
212	MEN-A1-0212	MEN-A1-00212	ORDER_PRESERVING_REFERENCE
213	MEN-A1-0213	MEN-A1-00213	ORDER_PRESERVING_REFERENCE
214	MEN-A1-0214	MEN-A1-00214	ORDER_PRESERVING_REFERENCE
215	MEN-A1-0215	MEN-A1-00215	ORDER_PRESERVING_REFERENCE
216	MEN-A1-0216	MEN-A1-00216	ORDER_PRESERVING_REFERENCE
217	MEN-A1-0217	MEN-A1-00217	ORDER_PRESERVING_REFERENCE
218	MEN-A1-0218	MEN-A1-00218	ORDER_PRESERVING_REFERENCE
219	MEN-A1-0219	MEN-A1-00219	ORDER_PRESERVING_REFERENCE
220	MEN-A1-0220	MEN-A1-00220	ORDER_PRESERVING_REFERENCE
221	MEN-A1-0221	MEN-A1-00221	ORDER_PRESERVING_REFERENCE
222	MEN-A1-0222	MEN-A1-00222	ORDER_PRESERVING_REFERENCE
223	MEN-A1-0223	MEN-A1-00223	ORDER_PRESERVING_REFERENCE
224	MEN-A1-0224	MEN-A1-00224	ORDER_PRESERVING_REFERENCE
225	MEN-A1-0225	MEN-A1-00225	ORDER_PRESERVING_REFERENCE
226	MEN-A1-0226	MEN-A1-00226	ORDER_PRESERVING_REFERENCE
227	MEN-A1-0227	MEN-A1-00227	ORDER_PRESERVING_REFERENCE
228	MEN-A1-0228	MEN-A1-00228	ORDER_PRESERVING_REFERENCE
229	MEN-A1-0229	MEN-A1-00229	ORDER_PRESERVING_REFERENCE
230	MEN-A1-0230	MEN-A1-00230	ORDER_PRESERVING_REFERENCE
231	MEN-A1-0231	MEN-A1-00231	ORDER_PRESERVING_REFERENCE
232	MEN-A1-0232	MEN-A1-00232	ORDER_PRESERVING_REFERENCE
233	MEN-A1-0233	MEN-A1-00233	ORDER_PRESERVING_REFERENCE
234	MEN-A1-0234	MEN-A1-00234	ORDER_PRESERVING_REFERENCE
235	MEN-A1-0235	MEN-A1-00235	ORDER_PRESERVING_REFERENCE
236	MEN-A1-0236	MEN-A1-00236	ORDER_PRESERVING_REFERENCE
237	MEN-A1-0237	MEN-A1-00237	ORDER_PRESERVING_REFERENCE
238	MEN-A1-0238	MEN-A1-00238	ORDER_PRESERVING_REFERENCE
239	MEN-A1-0239	MEN-A1-00239	ORDER_PRESERVING_REFERENCE
240	MEN-A1-0240	MEN-A1-00240	ORDER_PRESERVING_REFERENCE
241	MEN-A1-0241	MEN-A1-00241	ORDER_PRESERVING_REFERENCE
242	MEN-A1-0242	MEN-A1-00242	ORDER_PRESERVING_REFERENCE
243	MEN-A1-0243	MEN-A1-00243	ORDER_PRESERVING_REFERENCE
244	MEN-A1-0244	MEN-A1-00244	ORDER_PRESERVING_REFERENCE
245	MEN-A1-0245	MEN-A1-00245	ORDER_PRESERVING_REFERENCE
246	MEN-A1-0246	MEN-A1-00246	ORDER_PRESERVING_REFERENCE
247	MEN-A1-0247	MEN-A1-00247	ORDER_PRESERVING_REFERENCE
248	MEN-A1-0248	MEN-A1-00248	ORDER_PRESERVING_REFERENCE
249	MEN-A1-0249	MEN-A1-00249	ORDER_PRESERVING_REFERENCE
250	MEN-A1-0250	MEN-A1-00250	ORDER_PRESERVING_REFERENCE
251	MEN-A1-0251	MEN-A1-00251	ORDER_PRESERVING_REFERENCE
252	MEN-A1-0252	MEN-A1-00252	ORDER_PRESERVING_REFERENCE
253	MEN-A1-0253	MEN-A1-00253	ORDER_PRESERVING_REFERENCE
254	MEN-A1-0254	MEN-A1-00254	ORDER_PRESERVING_REFERENCE
255	MEN-A1-0255	MEN-A1-00255	ORDER_PRESERVING_REFERENCE
256	MEN-A1-0256	MEN-A1-00256	ORDER_PRESERVING_REFERENCE
257	MEN-A1-0257	MEN-A1-00257	ORDER_PRESERVING_REFERENCE
258	MEN-A1-0258	MEN-A1-00258	ORDER_PRESERVING_REFERENCE
259	MEN-A1-0259	MEN-A1-00259	ORDER_PRESERVING_REFERENCE
260	MEN-A1-0260	MEN-A1-00260	ORDER_PRESERVING_REFERENCE
261	MEN-A1-0261	MEN-A1-00261	ORDER_PRESERVING_REFERENCE
262	MEN-A1-0262	MEN-A1-00262	ORDER_PRESERVING_REFERENCE
263	MEN-A1-0263	MEN-A1-00263	ORDER_PRESERVING_REFERENCE
